ID,animal,fecha,time,altura,mo2ind,mo2gh,mo2gs_umol_h_gdrymass,dias,exper1,masa,fecha2,time2,dias2,masa_seca_gram
27,2,04/21/11,0.84375,3.361559743,0.013017857,0.955789805,3.680835715,0,E1,13.62,40654.84375,0.84375,0,3.49518652
28,2,04/21/11,0.889583333,2.111343938,0.014497159,1.064402283,4.099112501,0,E1,13.62,40654.88958,0.889583333,0,3.49518652
29,2,04/21/11,0.967361111,1.100334347,0.010935,0.802863436,3.091902001,0,E1,13.62,40654.96736,0.967361111,0,3.49518652
30,2,04/21/11,0.997222222,1.241739901,0.0091125,0.669052863,2.576585001,0,E1,13.62,40654.99722,0.997222222,0,3.49518652
144,2,04/22/11,0.024652778,1.629374219,0.003602616,0.264509272,1.018649884,1,E1,13.62,40655.02465,1.024652778,0,3.49518652
145,2,04/22/11,0.054166667,2.068187858,0.007376786,0.541614223,2.085806905,1,E1,13.62,40655.05417,1.054166667,0,3.49518652
146,2,04/22/11,0.101388889,3.226575192,0.007376786,0.541614223,2.085806905,1,E1,13.62,40655.10139,1.101388889,0,3.49518652
147,2,04/22/11,0.130555556,4.089069876,0.012800893,0.939859975,3.619488453,1,E1,13.62,40655.13056,1.130555556,0,3.49518652
148,2,04/22/11,0.159722222,4.761547369,0.006725893,0.493824733,1.90176512,1,E1,13.62,40655.15972,1.159722222,0,3.49518652
149,2,04/22/11,0.190277778,5.244385759,0.008914402,0.654508236,2.520572283,1,E1,13.62,40655.19028,1.190277778,0,3.49518652
150,2,04/22/11,0.243055556,5.370265724,0.012219034,0.897139067,3.454966251,1,E1,13.62,40655.24306,1.243055556,0,3.49518652
151,2,04/22/11,0.272569444,5.076689382,0.008667988,0.636416138,2.450897927,1,E1,13.62,40655.27257,1.272569444,0,3.49518652
152,2,04/22/11,0.350694444,3.491576595,0.009546429,0.700912524,2.699279524,1,E1,13.62,40655.35069,1.350694444,0,3.49518652
153,2,04/22/11,0.379513889,2.83436728,0.010001524,0.734326314,2.827959147,1,E1,13.62,40655.37951,1.379513889,0,3.49518652
154,2,04/22/11,0.409027778,2.260749909,0.010355114,0.760287345,2.927937501,1,E1,13.62,40655.40903,1.409027778,0,3.49518652
155,2,04/22/11,0.454861111,1.744453589,0.008461607,0.621263373,2.392543215,1,E1,13.62,40655.45486,1.454861111,0,3.49518652
156,2,04/22/11,0.483680556,1.71937093,0.012224085,0.897509939,3.456394513,1,E1,13.62,40655.48368,1.483680556,0,3.49518652
31,3,04/21/11,0.409027778,1.411560368,0.005591761,0.392404306,1.533346288,0,E1,14.25,40654.40903,0.409027778,0,3.6027565
32,3,04/21/11,0.455555556,1.255624024,0.006508929,0.456766917,1.784847531,0,E1,14.25,40654.45556,0.455555556,0,3.6027565
33,3,04/21/11,0.500347222,1.830696297,0.008264826,0.57998776,2.266341284,0,E1,14.25,40654.50035,0.500347222,0,3.6027565
34,3,04/21/11,0.544097222,2.922522409,0.010384012,0.72870257,2.847454434,0,E1,14.25,40654.5441,0.544097222,0,3.6027565
35,3,04/21/11,0.592013889,4.356156481,0.005265,0.369473684,1.443743336,0,E1,14.25,40654.59201,0.592013889,0,3.6027565
36,3,04/21/11,0.621180556,5.153040241,0.014002134,0.982605905,3.839598836,0,E1,14.25,40654.62118,0.621180556,0,3.6027565
37,3,04/21/11,0.666319444,6.001278262,0.01059593,0.743574051,2.905565749,0,E1,14.25,40654.66632,0.666319444,0,3.6027565
38,3,04/21/11,0.695486111,6.197299973,0.007778963,0.545892169,2.133110464,0,E1,14.25,40654.69549,0.695486111,0,3.6027565
39,3,04/21/11,0.740972222,5.904953501,0.009546429,0.669924812,2.617776379,0,E1,14.25,40654.74097,0.740972222,0,3.6027565
40,3,04/21/11,0.769444444,5.393788169,0.013896563,0.975197368,3.810649479,0,E1,14.25,40654.76944,0.769444444,0,3.6027565
41,3,04/21/11,0.815625,4.192958507,0.011443605,0.803059976,3.138011009,0,E1,14.25,40654.81563,0.815625,0,3.6027565
42,3,04/21/11,0.844791667,3.330809944,0.01311311,0.920218228,3.595814783,0,E1,14.25,40654.84479,0.844791667,0,3.6027565
43,3,04/21/11,0.890277778,2.094929701,0.015946875,1.119078947,4.372876452,0,E1,14.25,40654.89028,0.890277778,0,3.6027565
44,3,04/21/11,0.96875,1.1,0.00856575,0.601105263,2.348859351,0,E1,14.25,40654.96875,0.96875,0,3.6027565
45,3,04/21/11,0.998958333,1.259330667,0.007634797,0.535775249,2.093577915,0,E1,14.25,40654.99896,0.998958333,0,3.6027565
157,3,04/22/11,0.026041667,1.654806458,0.006667683,0.467907574,1.828380398,1,E1,14.25,40655.02604,1.026041667,0,3.6027565
158,3,04/22/11,0.054861111,2.084245581,0.010848214,0.761278195,2.974745886,1,E1,14.25,40655.05486,1.054861111,0,3.6027565
159,3,04/22/11,0.102430556,3.197763868,0.006993314,0.490758874,1.917673394,1,E1,14.25,40655.10243,1.102430556,0,3.6027565
160,3,04/22/11,0.131597222,4.115646797,0.010890549,0.764249037,2.98635465,1,E1,14.25,40655.1316,1.131597222,0,3.6027565
161,3,04/22/11,0.160763889,4.782240141,0.009960174,0.698959608,2.731231804,1,E1,14.25,40655.16076,1.160763889,0,3.6027565
162,3,04/22/11,0.191666667,5.259640432,0.012480163,0.875800915,3.422251136,1,E1,14.25,40655.19167,1.191666667,0,3.6027565
163,3,04/22/11,0.243402778,5.368199714,0.0070875,0.497368421,1.943500645,1,E1,14.25,40655.2434,1.243402778,0,3.6027565
164,3,04/22/11,0.273611111,5.062222155,0.011933036,0.837406015,3.272220474,1,E1,14.25,40655.27361,1.273611111,0,3.6027565
